year,iso2,msi_raw,msi_smoothed,sc
1982,US,0.4438860474005938,0.48603569069877156,ic
1983,US,0.6054606433431324,0.5041604560513313,ic
1984,US,0.6021219715136961,0.5312185037957642,ic
1985,US,0.5736731202826684,0.5549676681367247,ic
1986,US,0.5164253533155312,0.548313427171124,ic
1987,CA,0.5551385328707494,0.5724207425360792,fg
1988,CA,0.5635282970028909,0.5728695769000773,fg
1989,CA,0.5665366154752113,0.5707027361702238,fg
1990,CA,0.49661674902892583,0.5416908770739184,fg
1991,CA,0.4866898642105054,0.5337020117176566,fg
1992,CA,0.5583127112023942,0.5343368473839856,fg
1993,CA,0.594760943568523,0.540583376697112,fg
1994,CA,0.60759897483236,0.5487958485685417,fg
1995,CA,0.6080675876664061,0.5710860162960377,fg
1996,CA,0.6275244247871973,0.599252928411376,fg
1997,CA,0.6539891963819751,0.6183882254472922,fg
1998,CA,0.5883766994716053,0.6171113766279086,fg
1999,CA,0.7340628257046691,0.6424041468023705,fg
2000,CA,0.8488274270857438,0.6905561146862379,fg
2001,CA,0.693786687487142,0.7038085672262269,fg
2002,CA,0.6871499753201602,0.7104407230138639,fg
2003,CA,0.6786504361836432,0.7284954703562715,fg
2004,CA,0.7493430481036587,0.7315515148360694,fg
2005,CA,0.756553910406552,0.7130968115002311,fg
2006,CA,0.7209005997383386,0.7185195939504704,fg
2007,CA,0.6810530395455254,0.7173002067955434,fg
2008,CA,0.6617278069229016,0.7139156809433951,fg
2009,CA,0.4403074187853292,0.6521085550797292,fg
2010,CA,0.6515565462428063,0.63110908224698,fg
2011,CA,0.6458774262200042,0.6161044475433132,fg
2012,CA,0.6077503489597611,0.6014439094261602,fg
2013,CA,0.6147124272860304,0.592040833498786,fg
2014,CA,0.6930761546223421,0.6425945806661886,fg
2015,CA,0.5836839528763514,0.6290200619928975,fg
2016,CA,0.5705291325796624,0.6139504032648292,fg
2017,CA,0.6282191257890892,0.6180441586306948,fg
2018,CA,0.6689536050013744,0.6288923941737636,fg
2019,CA,0.6505418864476732,0.6203855405388298,fg
1987,DE,0.5884587381744941,0.6392776159437658,fg
1988,DE,0.6840974923928951,0.6503008161871521,fg
1989,DE,0.7198906288238858,0.6734999937777216,fg
1990,DE,0.6431901241490511,0.6668070664272939,fg
1991,DE,0.55943273462495835,0.6390139436330566,fg
1992,DE,0.4817499652880276,0.6176721890557634,fg
1993,DE,0.45626947237175697,0.5721065850515357,fg
1994,DE,0.5655233864026327,0.5412331365672851,fg
1995,DE,0.6115153607218816,0.5348981838818512,fg
1996,DE,0.5702345130959708,0.5370585395760537,fg
1997,DE,0.5907742101778797,0.5588633885540241,fg
1998,DE,0.5655094894191155,0.5807113919634957,fg
1999,DE,0.5246292781159461,0.5725325703061585,fg
2000,DE,0.5912566937675148,0.5684808369152851,fg
2001,DE,0.4930569194293841,0.5530453181819678,fg
2002,DE,0.47508992736859956,0.5299084616201118,fg
2003,DE,0.46717617134076483,0.5102417980044417,fg
2004,DE,0.5807837819423225,0.5214726987697169,fg
2005,DE,0.6111541101596283,0.5254521820481395,fg
2006,DE,0.6733191250423156,0.5615046231707257,fg
2007,DE,0.6567558453235299,0.5978378067617118,fg
2008,DE,0.6105043497115518,0.6265034424358692,fg
2009,DE,0.5188004693432673,0.6141067799160581,fg
2010,DE,0.732718314766638,0.6384196208374601,fg
2011,DE,0.7065503129531185,0.6450658584196207,fg
2012,DE,0.6960379786235942,0.6529222850796336,fg
2013,DE,0.7567677031778447,0.6821749557728921,fg
2014,DE,0.775974347334965,0.7336097313712318,fg
2015,DE,0.7594465667834704,0.7389553817745982,fg
2016,DE,0.6901135984499847,0.7356680388739715,fg
2017,DE,0.8013537106012502,0.7567311852695028,fg
2018,DE,0.7416740076916242,0.7537124461722586,fg
2019,DE,0.7411859248579731,0.7467547616768602,fg
1987,FR,0.6079752117036472,0.603353332181219,fg
1988,FR,0.6245355398277274,0.6149875042097322,fg
1989,FR,0.7063354124145929,0.6430273833825447,fg
1990,FR,0.6293578386706347,0.6556127697241878,fg
1991,FR,0.6416901119624698,0.6419788229158143,fg
1992,FR,0.6310935426533457,0.646602489105754,fg
1993,FR,0.6087862748301771,0.643452636106244,fg
1994,FR,0.6302719329324785,0.6282399402098211,fg
1995,FR,0.5976931877721176,0.6219070100301177,fg
1996,FR,0.6364478482293703,0.6208585572834979,fg
1997,FR,0.7178338345133488,0.6382066156554985,fg
1998,FR,0.7641746067570475,0.6692842820408725,fg
1999,FR,0.739604842614451,0.691150863977267,fg
2000,FR,0.7618200484780581,0.7239762361184552,fg
2001,FR,0.6926750837459896,0.735221683221779,fg
2002,FR,0.664545527620511,0.7245640218432114,fg
2003,FR,0.6143959471372107,0.6946082899192441,fg
2004,FR,0.6425617313708303,0.6751996676705201,fg
2005,FR,0.5906697572141335,0.6409696094177351,fg
2006,FR,0.6368750018785795,0.629809593044253,fg
2007,FR,0.6697061062307177,0.6308417087662944,fg
2008,FR,0.5584430848328013,0.6196511363054125,fg
2009,FR,0.4134996520347176,0.57383872043819,fg
2010,FR,0.6213054107744014,0.5799658511502436,fg
2011,FR,0.5831064016150611,0.56921213109754,fg
2012,FR,0.5255307785024943,0.5403770655518952,fg
2013,FR,0.5402984263993804,0.5367481338652111,fg
2014,FR,0.514764653370533,0.5570011341323742,fg
2015,FR,0.521766652919182,0.5370933825613303,fg
2016,FR,0.5228990632352364,0.5250519148853654,fg
2017,FR,0.6233464029979912,0.5446150397844647,fg
2018,FR,0.614474368165931,0.5594502281377748,fg
2019,FR,0.6466710178837,0.5858315010404083,fg
1993,GB,0.7061647179021048,0.6179446025659909,fg
1994,GB,0.7783648164744729,0.6447288379110526,fg
1995,GB,0.7603176244325652,0.6833848926104575,fg
1996,GB,0.8104119047815487,0.729099147698323,fg
1997,GB,0.8918646474840355,0.7894247422149453,fg
1998,GB,0.8363187645121951,0.8154555515369634,fg
1999,GB,0.7591431490068925,0.8116112180434472,fg
2000,GB,0.7257542458671813,0.8046985423303704,fg
2001,GB,0.7116660964667196,0.7849493806674046,fg
2002,GB,0.6263735111031781,0.7318511533912331,fg
2003,GB,0.6624002921789014,0.6970674589245742,fg
2004,GB,0.7238805364705789,0.6900149364173116,fg
2005,GB,0.7472530820522572,0.6943147036543269,fg
2006,GB,0.7077665224181571,0.6935347888446144,fg
2007,GB,0.6385245493424977,0.6959649964924783,fg
2008,GB,0.40979880178508377,0.6454446984137148,fg
2009,GB,0.4164265656034627,0.5839539042402915,fg
2010,GB,0.6978605773967461,0.5740754033091893,fg
2011,GB,0.602440809591442,0.5530102607438463,fg
2012,GB,0.6025956815859639,0.5458244871925395,fg
2013,GB,0.6546653851842241,0.5947978038723676,fg
2014,GB,0.6592705020750433,0.6433665911666837,fg
2015,GB,0.6550612007643726,0.634806715840209,fg
2016,GB,0.6584078713990237,0.6460001282017254,fg
2017,GB,0.7645169288692557,0.6783843776583837,fg
2018,GB,0.7287743912820712,0.6932061788779531,fg
2019,GB,0.7286302329900747,0.7070781250609594,fg
1987,IT,0.6734235473228825,0.6536939491125638,fg
1988,IT,0.6404354604862583,0.6696401369550269,fg
1989,IT,0.5254774016183708,0.654284579548714,fg
1990,IT,0.5560458375373131,0.6329800628421681,fg
1991,IT,0.5983525254155808,0.5987469544760811,fg
1992,IT,0.6960222946633983,0.6032667039441841,fg
1993,IT,0.6755842825379713,0.6102964683545269,fg
1994,IT,0.7024425532639798,0.6456894986836487,fg
1995,IT,0.6963292911741966,0.6737461894110254,fg
1996,IT,0.6947277991778853,0.6930212441634863,fg
1997,IT,0.7250617118521032,0.6988291276012274,fg
1998,IT,0.7660118471705482,0.7169146405277427,fg
1999,IT,0.6877751951803872,0.7139811689110243,fg
2000,IT,0.7130740391694198,0.7173301185100688,fg
2001,IT,0.6746272732516609,0.713310013324824,fg
2002,IT,0.6359973857568253,0.6954971481057683,fg
2003,IT,0.6352867188815993,0.6693521224479786,fg
2004,IT,0.6721929773461502,0.6662356788811311,fg
2005,IT,0.6727618253219481,0.6581732361116367,fg
2006,IT,0.6691586416381671,0.6570795097889379,fg
2007,IT,0.6785476585076488,0.6655895643391025,fg
2008,IT,0.5075882255565944,0.6400498656741016,fg
2009,IT,0.44663940797283097,0.5949391517994378,fg
2010,IT,0.5474703408697563,0.5698808549089994,fg
2011,IT,0.54813000649872,0.5456751278811101,fg
2012,IT,0.49546653871916746,0.5090589039234138,fg
2013,IT,0.5127507952160812,0.5100914178553112,fg
2014,IT,0.558907887469525,0.5325451137546501,fg
2015,IT,0.5859221948799564,0.5402354845566901,fg
2016,IT,0.6063650314581481,0.5518824895485757,fg
2017,IT,0.6851743368217202,0.5898240491690863,fg
2018,IT,0.6664071402710641,0.6205553181800829,fg
2019,IT,0.6840597936922761,0.6455856994246331,fg
1987,JP,0.6942678264947455,0.702504249323382,fg
1988,JP,0.678007370800065,0.7073308356808548,fg
1989,JP,0.6081575029159485,0.6910594989391445,fg
1990,JP,0.45961602397894474,0.6374027132268187,fg
1991,JP,0.5403725574826009,0.5960842563344609,fg
1992,JP,0.5928877688613123,0.5758082448077744,fg
1993,JP,0.6283619621215074,0.5658791630720629,fg
1994,JP,0.6468361039238919,0.5736148832736516,fg
1995,JP,0.6020576963512605,0.6021032177481148,fg
1996,JP,0.6249139830069477,0.6190115028529841,fg
1997,JP,0.5496352542215027,0.6103609999250222,fg
1998,JP,0.5514418363498488,0.5949769747706906,fg
1999,JP,0.595414917019053,0.5846927373897227,fg
2000,JP,0.6169178344951916,0.587664765018509,fg
2001,JP,0.5232779595158163,0.5673375603202826,fg
2002,JP,0.5081468433672343,0.5590398781494289,fg
2003,JP,0.5727553016425637,0.563302571207972,fg
2004,JP,0.6777400129159341,0.5797675903873482,fg
2005,JP,0.6688876638535226,0.5901615562590143,fg
2006,JP,0.7554129442089866,0.6365885531976485,fg
2007,JP,0.7656982915099599,0.6880988428261936,fg
2008,JP,0.6202335132022533,0.6975944851381315,fg
2009,JP,0.4607224971080094,0.6541909819765466,fg
2010,JP,0.7038811806621453,0.661189685338271,fg
2011,JP,0.6441032324990938,0.6389277429962925,fg
2012,JP,0.6454083018824739,0.6148697450707953,fg
2013,JP,0.7512088995625931,0.6410648223428632,fg
2014,JP,0.6289046379248917,0.6747012505062397,fg
2015,JP,0.7976857013338596,0.6934621546405826,fg
2016,JP,0.7531510465215823,0.7152717174450803,fg
2017,JP,0.8464365941958045,0.7554773759077464,fg
2018,JP,0.7876287314036376,0.7627613422759553,fg
2019,JP,0.7761088728353635,0.7922021892580495,fg
1987,US,0.6297482736316808,0.6609074734193552,fg
1988,US,0.6238191612231495,0.6447937326434886,fg
1989,US,0.6751656528566925,0.6475508845499415,fg
1990,US,0.6274561956509561,0.6395501018355197,fg
1991,US,0.6607672307468471,0.6433913028218653,fg
1992,US,0.7418455873594254,0.6658107655674141,fg
1993,US,0.7419379291036068,0.6894345191435056,fg
1994,US,0.7556595598596224,0.7055333005440916,fg
1995,US,0.7731079965779957,0.7346636607294995,fg
1996,US,0.8015594266292253,0.7628220999059752,fg
1997,US,0.8097879885380685,0.7764105801417036,fg
1998,US,0.7790758700892346,0.7838381683388291,fg
1999,US,0.7674264164965542,0.7861915396662156,fg
2000,US,0.7194559029585761,0.7754611209423317,fg
2001,US,0.6642041818335056,0.7479900719831877,fg
2002,US,0.5881121163871514,0.7036548975530043,fg
2003,US,0.6169934042019314,0.6712384043755436,fg
2004,US,0.66327104851853,0.6504073307799387,fg
2005,US,0.6104411186259605,0.6286043739134156,fg
2006,US,0.6470560685684144,0.6251747512603973,fg
2007,US,0.6127240549955726,0.6300971389820816,fg
2008,US,0.40881377868497126,0.5884612138786895,fg
2009,US,0.314917397437949,0.5187904836625734,fg
2010,US,0.5471544451180044,0.5061331489609822,fg
2011,US,0.5477048658532032,0.48626290841793995,fg
2012,US,0.6227414473422905,0.4882663868872836,fg
2013,US,0.6626681693143102,0.5390372650131514,fg
2014,US,0.7019831615777626,0.6164504178411141,fg
2015,US,0.6552113932694708,0.6380618074714073,fg
2016,US,0.6736874435351614,0.663258323007799,fg
2017,US,0.7451462484586913,0.6877392832310791,fg
2018,US,0.7517445443420198,0.705554558236621,fg
2019,US,0.732059788462655,0.7115698836135995,fg
