year,iso2,msi_raw,msi_smoothed
1978,IT,0.7119049905989889,0.5772523190795973
1979,IT,0.7158760206962194,0.6398318476166256
1980,IT,0.6168057646995901,0.6554850329234799
1981,IT,0.6194698944372632,0.6568430075818471
1982,IT,0.6003440264629601,0.6528801393790045
1983,IT,0.6604889194975682,0.6425969251587202
1984,IT,0.674255411705494,0.6342728033605752
1985,IT,0.7199648719163843,0.6549046248039341
1986,IT,0.8082007741435765,0.6926508007451966
1987,IT,0.7164011365236884,0.7158622227573423
1988,IT,0.6922143590329854,0.7222073106644257
1989,IT,0.6460500393502165,0.7165662361933702
1990,IT,0.6452878985198007,0.7016308415140534
1991,IT,0.6526884367757373,0.6705283740404856
1992,IT,0.7251223123726983,0.6722726092102876
1993,IT,0.6907965971004213,0.6719890568237747
1994,IT,0.7180696621945606,0.6863929813926435
1995,IT,0.7089197912327657,0.6991193599352366
1996,IT,0.7169085305264561,0.7119633786853803
1997,IT,0.7265997405973833,0.7122588643303173
1998,IT,0.7473703811040127,0.7235736211310355
1999,IT,0.6897130174498505,0.7179022921820936
2000,IT,0.7130412474928455,0.7187265834341094
2001,IT,0.6742823200718371,0.7102013413431856
2002,IT,0.6437802350333173,0.6936374402303724
2003,IT,0.6425120321842557,0.6726657704464211
2004,IT,0.6745752447060437,0.6696382158976597
2005,IT,0.666272003465424,0.6602843670921754
2006,IT,0.6650793818166356,0.6584437794411351
2007,IT,0.6578860725963085,0.6612649469537333
2008,IT,0.5523345091056903,0.6432294423380202
2009,IT,0.48129512072378644,0.6045734175415687
2010,IT,0.5552314801212266,0.5823653128727291
2011,IT,0.5548567544983437,0.5603207874090708
2012,IT,0.520732319685876,0.5328900368269843
2013,IT,0.539024448810225,0.5302280247678912
2014,IT,0.5680631076267523,0.5475816221484845
2015,IT,0.5805440759924454,0.5526441413227282
2016,IT,0.596113745991269,0.5608955396213132
2017,IT,0.6523799032698547,0.5872250563381091
2018,IT,0.639021269616648,0.6072244204993936
2019,IT,0.651877464955942,0.6239872919652315
1975,JP,0.6154746135743612,0.6339143471478245
1976,JP,0.6777863059464755,0.627079937140424
1977,JP,0.7027439020006342,0.610510558246687
1978,JP,0.7275205731131058,0.6362674354929819
1979,JP,0.6614322297105539,0.676991524869026
1980,JP,0.585347103841594,0.6709660229224725
1981,JP,0.6516497369935987,0.6657387091318971
1982,JP,0.6392585884732354,0.6530416464264175
1983,JP,0.6859621762209667,0.6447299670479897
1984,JP,0.7171620064421022,0.6558759223942993
1985,JP,0.7353388998727107,0.6858742816005227
1986,JP,0.7119990746885321,0.6979441491395093
1987,JP,0.6952525976737415,0.7091429509796106
1988,JP,0.6831709719405079,0.7085847101235189
1989,JP,0.6770111467499312,0.7005545381850847
1990,JP,0.5894251286355661,0.671371783937656
1991,JP,0.6335524163549725,0.6556824522709441
1992,JP,0.6196189738751552,0.6405557275112268
1993,JP,0.6479313539175524,0.6335078039066356
1994,JP,0.6460016830182831,0.627305911160306
1995,JP,0.6127587116305078,0.6319726277592943
1996,JP,0.6305381824433223,0.6313697809769643
1997,JP,0.5852836722893159,0.6245027206597964
1998,JP,0.54947476924491645,0.6048114037252692
1999,JP,0.6154548489251379,0.5987020369066401
2000,JP,0.6432962404702172,0.6048095426745821
2001,JP,0.5663220376430638,0.5919663137145303
2002,JP,0.5553864153462684,0.5859868623259209
2003,JP,0.5938865748470572,0.594869223446349
2004,JP,0.6715338470258603,0.6060850230664935
2005,JP,0.6673775877590966,0.6109012925242693
2006,JP,0.7212862236056584,0.6418941297167883
2007,JP,0.7253518947536592,0.6758872255982664
2008,JP,0.6261311489137666,0.6823361404116083
2009,JP,0.5248587344388911,0.6530011178942144
2010,JP,0.7112430228938864,0.6617742049211724
2011,JP,0.6419325383378639,0.6459034678676134
2012,JP,0.6439922625800478,0.6296315414328912
2013,JP,0.7433349834765203,0.6530723083454419
2014,JP,0.6905563460463604,0.6862118306669358
2015,JP,0.7812722376034851,0.7002176736088556
2016,JP,0.7369582177603013,0.719222809493343
2017,JP,0.8049278852966197,0.7514099340366573
2018,JP,0.7706991050343026,0.7568827583482137
2019,JP,0.7437777485977497,0.7675270388584916
1962,US,0.76131644737841,0.7490181504450701
1963,US,0.7763027167344431,0.764960774566911
1964,US,0.8099007670772786,0.7633012842083071
1965,US,0.806467753813575,0.7775826528364542
1966,US,0.8106209970720512,0.7929217364151515
1967,US,0.7732423200121132,0.7953069109418923
1968,US,0.7904627886755933,0.7981389253301223
1969,US,0.7504647979584309,0.7862517315063527
1970,US,0.6457200455259038,0.7541021898488185
1971,US,0.7369393845284562,0.7393658673400995
1972,US,0.7533611666991226,0.7353896366775012
1973,US,0.6788734409012174,0.7130717671226261
1974,US,0.481838381813393,0.6593464838936185
1975,US,0.5584733870666407,0.6418971522017659
1976,US,0.7027286055578039,0.6350549964076355
